t,A,A2
10,0.124,124
20,9.6000000000000002e-002,96
30,7.4999999999999997e-002,75
40,5.5e-002,55
50,3.7999999999999999e-002,38
60,2.5999999999999999e-002,26
70,1.6e-002,16
80,7.0000000000000001e-003,7
90,8.0000000000000004e-004,0.8
100,8.0000000000000004e-004,0.8

